episode,step,action,reward,total_reward
0,68,5,-1.0923769481341596,-971.6864489723387
0,69,8,-1.104215191373482,-972.7906641637121
0,70,7,-1.1137635659083678,-973.9044277296205
0,71,10,-1.1209871437753787,-975.0254148733958
0,72,5,-1.1277827133513127,-976.1531975867471
0,73,2,-1.1349297087992642,-977.2881272955464
0,74,2,-1.1423859361068567,-978.4305132316532
0,75,8,-1.1487410188859235,-979.5792542505392
0,76,2,-1.1554266936000444,-980.7346809441392
0,77,5,-1.141322359457035,-981.8760033035962
0,78,2,-1.1257249570104133,-983.0017282606067
0,79,5,-1.1094838502297795,-984.1112121108365
0,80,8,-1.0920905028237442,-985.2033026136603
0,81,8,-1.0736941271949663,-986.2769967408552
0,82,7,-1.0545836554604393,-987.3315803963156
0,83,2,-1.0356518591126478,-988.3672322554283
0,84,6,-1.016220899039324,-989.3834531544677
0,85,10,-1.0,-990.3834531544677
1,1,1,-1.9959402380699638,-1.9959402380699638
1,2,5,-1.9876764935776328,-3.9836167316475963
1,3,5,-1.9784737277929345,-5.962090459440531
1,4,3,-1.970714237473071,-7.9328046969136015
1,5,1,-1.9666716645403424,-9.899476361453944
1,6,4,-1.959779092632247,-11.859255454086192
1,7,8,-1.9489964690214099,-13.808251923107601
1,8,1,-1.942156533869102,-15.750408456976704
1,9,6,-1.9332199679643918,-17.683628424941094
1,10,5,-1.924303635088434,-19.60793206002953
1,11,6,-1.9147626293616504,-21.52269468939118
1,12,0,-1.9105708745700347,-23.433265563961214
1,13,4,-1.9044299847660713,-25.337695548727286
1,14,9,-1.8941091466938047,-27.23180469542109
1,15,9,-1.882508828395785,-29.114313523816875
1,16,2,-1.8743420723678759,-30.988655596184753
1,17,0,-1.8722809178168314,-32.86093651400159
1,18,1,-1.8719232235037433,-34.73285973750533
1,19,10,-1.8613635528067582,-36.59422329031209
1,20,0,-1.85591065857094,-38.45013394888303
1,21,6,-1.8486485895261717,-40.2987825384092
1,22,4,-1.8423742779624535,-42.141156816371655
1,23,6,-1.8349809119107734,-43.97613772828243
1,24,3,-1.8295821826689584,-45.80571991095139
1,25,10,-1.8200268052158606,-47.62574671616725
1,26,2,-1.8139310212612425,-49.43967773742849
1,27,1,-1.8131028454308447,-51.25278058285934
1,28,3,-1.8082202214663856,-53.06100080432572
1,29,1,-101.8100163995715,-154.87101720389722
1,30,1,-1.804861849217781,-156.675879053115
1,31,9,-1.7961049377348588,-158.47198399084988
1,32,2,-1.7907710475770793,-160.26275503842695
1,33,7,-1.7833854523995285,-162.04614049082647
1,34,3,-1.7782792342561557,-163.82441972508263
1,35,4,-1.7733138953303769,-165.597733620413
1,36,2,-1.7709130926337435,-167.36864671304676
1,37,3,-1.7669435693478532,-169.13559028239462
1,38,1,-101.76913154243682,-270.9047218248314
1,39,8,-1.759307939280911,-272.66402976411234
1,40,1,-1.753843368349001,-274.41787313246135
1,41,10,-1.7448981888687953,-276.1627713213301
1,42,7,-1.7299470085501427,-277.89271832988027
1,43,7,-1.7095350552232589,-279.60225338510355
1,44,4,-1.684563662326826,-281.28681704743036
