episode,epsilon,reward,steps,exit_reason
226,1,-424.24310596678504,185,terminated
227,1,-408.8192830941732,196,terminated
228,1,-448.67031587595847,189,terminated
229,1,-436.98056870765896,201,terminated
230,1,-407.8832725673949,187,terminated
231,1,-421.5297152177563,189,terminated
232,1,-403.70441318880813,199,terminated
233,1,-404.66125860716187,200,terminated
234,1,-371.008311426895,192,terminated
235,1,-387.25237003207894,190,terminated
236,1,-405.79290870491036,197,terminated
237,1,-397.13767197478865,194,terminated
238,1,-426.6081706442042,196,terminated
239,1,-391.50034161070386,194,terminated
240,1,-445.54907861316076,194,terminated
241,1,-396.38659375096245,191,terminated
242,1,-431.6555358792967,186,terminated
243,1,-431.64510594349207,202,terminated
244,1,-439.5144086018011,190,terminated
245,1,-417.57594783207696,202,terminated
246,1,-374.26484523845943,185,terminated
247,1,-382.1980719200666,191,terminated
248,1,-398.3486570165194,196,terminated
249,1,-411.0285089953473,188,terminated
250,1,-449.8396851689965,192,terminated
251,1,-408.9995800344118,195,terminated
252,1,-427.8837932441435,196,terminated
253,1,-414.66609348336823,190,terminated
254,1,-463.57686631550285,192,terminated
255,1,-441.45204425323584,195,terminated
256,1,-440.0076004645003,201,terminated
257,1,-456.27985036215887,202,terminated
258,1,-430.77144193637,192,terminated
259,1,-392.33006108352976,193,terminated
260,1,-397.9463670453411,192,terminated
261,1,-387.86030973057814,190,terminated
262,1,-402.02871322665396,191,terminated
263,1,-432.46510542732995,191,terminated
264,1,-406.0087013182446,196,terminated
265,1,-408.7610511758673,189,terminated
266,1,-419.42243744719076,186,terminated
267,1,-394.8393859170298,188,terminated
268,1,-430.33146922967745,197,terminated
269,1,-458.6110474533847,207,terminated
270,1,-429.91048483288006,197,terminated
271,1,-392.72783455067537,199,terminated
272,1,-457.21401156657436,194,terminated
273,1,-454.3917220422152,196,terminated
274,1,-408.29779752832223,187,terminated
275,1,-397.35936514593476,189,terminated
276,1,-364.75423567953504,179,terminated
277,1,-393.64360272938876,187,terminated
278,1,-422.47170504952896,196,terminated
279,1,-428.59537532593356,193,terminated
280,1,-462.28900092385163,196,terminated
281,1,-387.3286310547509,200,terminated
282,1,-418.36955871022053,191,terminated
283,1,-409.5748377982222,201,terminated
284,1,-399.9092352856969,188,terminated
285,1,-417.43929739862057,195,terminated
286,1,-437.4524250931504,196,terminated
287,1,-454.9759075651128,202,terminated
288,1,-417.8397241939347,184,terminated
289,1,-396.0957983292791,198,terminated
290,1,-438.66817272991904,189,terminated
291,1,-415.6381625103538,188,terminated
292,1,-410.87590483283026,199,terminated
293,1,-386.94168559559955,185,terminated
294,1,-404.86536274022353,189,terminated
295,1,-377.01857949809744,191,terminated
296,1,-415.18377996222057,196,terminated
297,1,-393.0902862787784,191,terminated
298,1,-402.32914289667696,189,terminated
299,1,-371.02591041966576,191,terminated
300,1,-428.5887328150389,198,terminated
301,1,-428.39991167337547,198,terminated
302,1,-410.5812843318967,201,terminated
303,1,-482.30836207558167,200,terminated
304,1,-428.5173170396341,186,terminated
305,1,-460.1191049865839,199,terminated
306,1,-408.24291814624826,199,terminated
307,1,-408.5312965801726,194,terminated
308,1,-399.35814557192805,195,terminated
309,1,-401.5387400218451,193,terminated
310,1,-376.03124803261613,192,terminated
311,1,-388.42492617856453,192,terminated
312,1,-401.1174372176004,187,terminated
313,1,-411.08450002747406,191,terminated
314,1,-447.29429705949667,200,terminated
315,1,-424.6619445083512,188,terminated
316,1,-403.1021961031347,194,terminated
317,1,-435.95377919899477,198,terminated
318,1,-404.36350719347257,200,terminated
319,1,-431.8072545836526,199,terminated
