episode,epsilon,reward,steps,exit_reason
334,1,-429.0370104356221,191,terminated
335,1,-402.2486610385754,196,terminated
336,1,-382.20225696770285,194,terminated
337,1,-413.4902137068689,189,terminated
338,1,-407.66689793770166,191,terminated
339,1,-436.57355484025976,195,terminated
340,1,-417.92302689630213,196,terminated
341,1,-433.9771774271246,193,terminated
342,1,-467.63838318541445,203,terminated
343,1,-405.7169042855286,183,terminated
344,1,-392.40056580379456,192,terminated
345,1,-426.61181399453653,194,terminated
346,1,-396.9152991490795,194,terminated
347,1,-442.89675674079507,191,terminated
348,1,-451.1003491881483,197,terminated
349,1,-409.5846305842925,197,terminated
350,1,-410.5792145491459,200,terminated
351,1,-379.6790300588377,189,terminated
352,1,-425.86508096215147,189,terminated
353,1,-403.23244395439065,198,terminated
354,1,-405.4013092715082,192,terminated
355,1,-449.50029387972234,193,terminated
356,1,-447.9708089493465,195,terminated
357,1,-420.11094179802626,198,terminated
358,1,-401.2815874603851,199,terminated
359,1,-404.6957267836855,196,terminated
360,1,-422.3805467866996,189,terminated
361,1,-423.2780936438857,194,terminated
362,1,-444.11671597047905,190,terminated
363,1,-364.29605949184094,192,terminated
364,1,-391.2198370128821,193,terminated
365,1,-402.8919615280218,191,terminated
366,1,-416.74831369174416,198,terminated
367,1,-427.5872607360185,190,terminated
368,1,-409.00337832518517,189,terminated
369,1,-438.275795225848,197,terminated
370,1,-395.7331854820493,195,terminated
371,1,-390.2452089935144,197,terminated
372,1,-393.48700894169,192,terminated
373,1,-439.22597663649833,190,terminated
374,1,-437.2482333659505,188,terminated
375,1,-386.9045295332894,195,terminated
376,1,-392.1539937804339,185,terminated
377,1,-441.0443539023943,194,terminated
378,1,-445.5575211664628,197,terminated
379,1,-436.88298314160704,195,terminated
380,1,-373.76127298332653,186,terminated
381,1,-410.7786456250991,195,terminated
382,1,-432.3862047166499,194,terminated
383,1,-405.59270168654865,199,terminated
384,1,-449.9707195876799,196,terminated
385,1,-415.60627480844363,185,terminated
386,1,-406.83984152868186,201,terminated
387,1,-416.771825012094,200,terminated
388,1,-455.5083622438744,197,terminated
389,1,-446.6472448185522,194,terminated
390,1,-448.1678135494279,201,terminated
391,1,-419.1994382836257,184,terminated
392,1,-393.03831478903874,195,terminated
393,1,-406.3945016962108,191,terminated
394,1,-458.1348342393747,201,terminated
395,1,-442.0488721232766,196,terminated
396,1,-461.27578139257696,196,terminated
397,1,-384.8200517935613,193,terminated
398,1,-376.1200374336399,185,terminated
399,1,-449.17871563824417,199,terminated
400,1,-394.1967186564358,200,terminated
401,1,-428.60798227868446,194,terminated
402,1,-415.487929095977,186,terminated
403,1,-446.37679682654283,196,terminated
404,1,-379.771524966238,190,terminated
405,1,-443.29919441760075,197,terminated
406,1,-424.1439514413365,188,terminated
407,1,-406.1209657667227,185,terminated
408,1,-447.1347910626877,197,terminated
409,1,-404.2961074704465,193,terminated
410,1,-394.5783466722496,198,terminated
411,1,-453.15995271224136,195,terminated
412,1,-405.64275459296516,195,terminated
413,1,-404.59880492647915,189,terminated
414,1,-404.3784842225852,197,terminated
415,1,-375.39548597931093,189,terminated
416,1,-418.2910566204029,191,terminated
417,1,-412.4461585138437,202,terminated
418,1,-400.57342429629136,196,terminated
419,1,-408.3702769571177,202,terminated
420,1,-444.6708787336643,204,terminated
421,1,-393.13276935493076,192,terminated
422,1,-409.9823097765385,193,terminated
423,1,-437.44364972975336,202,terminated
424,1,-410.98995942916116,182,terminated
425,1,-382.3162003056466,189,terminated
426,1,-463.55768310513173,202,terminated
