episode,total_reward,steps,exit_reason
327,-31,31,terminated
328,-133,33,terminated
329,-133,33,terminated
330,-132,32,terminated
331,-334,34,terminated
332,-35,35,terminated
333,-341,41,terminated
334,-137,37,terminated
335,-134,34,terminated
336,-232,32,terminated
337,-29,29,terminated
338,-133,33,terminated
339,-132,32,terminated
340,-234,34,terminated
341,70,30,terminated
342,-238,38,terminated
343,68,32,terminated
344,-31,31,terminated
345,-134,34,terminated
346,-36,36,terminated
347,-234,34,terminated
348,67,33,terminated
349,-32,32,terminated
350,-335,35,terminated
351,73,27,terminated
352,-30,30,terminated
353,-141,41,terminated
354,-236,36,terminated
355,68,32,terminated
356,71,29,terminated
357,68,32,terminated
358,-135,35,terminated
359,-134,34,terminated
360,71,29,terminated
361,72,28,terminated
362,-234,34,terminated
363,-233,33,terminated
364,-236,36,terminated
365,-137,37,terminated
366,-338,38,terminated
367,-743,43,terminated
368,-33,33,terminated
369,-37,37,terminated
370,67,33,terminated
371,-137,37,terminated
372,-442,42,terminated
373,-137,37,terminated
374,-340,40,terminated
375,-139,39,terminated
376,-135,35,terminated
377,-34,34,terminated
378,-133,33,terminated
379,66,34,terminated
380,-33,33,terminated
381,-134,34,terminated
382,-239,39,terminated
383,-235,35,terminated
384,-32,32,terminated
385,-30,30,terminated
386,-134,34,terminated
387,-237,37,terminated
388,-646,46,terminated
389,-135,35,terminated
390,-35,35,terminated
391,-134,34,terminated
392,-135,35,terminated
393,-31,31,terminated
394,-30,30,terminated
395,-135,35,terminated
396,-33,33,terminated
397,-236,36,terminated
398,-35,35,terminated
399,-236,36,terminated
400,-134,34,terminated
401,-239,39,terminated
402,-439,39,terminated
403,71,29,terminated
404,-34,34,terminated
405,-32,32,terminated
406,70,30,terminated
407,-30,30,terminated
408,69,31,terminated
409,-32,32,terminated
410,-35,35,terminated
411,70,30,terminated
412,-233,33,terminated
413,-32,32,terminated
414,-34,34,terminated
415,-137,37,terminated
416,-140,40,terminated
417,-35,35,terminated
418,68,32,terminated
419,-136,36,terminated
420,67,33,terminated
421,67,33,terminated
422,-34,34,terminated
423,-234,34,terminated
424,-36,36,terminated
425,-32,32,terminated
426,-139,39,terminated
427,-239,39,terminated
428,-237,37,terminated
429,-29,29,terminated
430,70,30,terminated
431,-32,32,terminated
432,70,30,terminated
433,-28,28,terminated
434,-34,34,terminated
435,-434,34,terminated
436,-137,37,terminated
437,-135,35,terminated
438,70,30,terminated
439,68,32,terminated
440,-233,33,terminated
441,-133,33,terminated
442,-29,29,terminated
443,-336,36,terminated
444,-33,33,terminated
445,-129,29,terminated
446,-29,29,terminated
447,-31,31,terminated
448,69,31,terminated
449,71,29,terminated
450,-30,30,terminated
451,-131,31,terminated
452,-33,33,terminated
453,-30,30,terminated
454,-26,26,terminated
455,70,30,terminated
456,73,27,terminated
457,73,27,terminated
458,-31,31,terminated
459,-30,30,terminated
460,73,27,terminated
461,-28,28,terminated
462,-32,32,terminated
463,-234,34,terminated
464,-33,33,terminated
465,-35,35,terminated
466,-133,33,terminated
467,72,28,terminated
468,69,31,terminated
469,-133,33,terminated
470,-32,32,terminated
471,71,29,terminated
472,-31,31,terminated
473,-443,43,terminated
474,-34,34,terminated
475,-132,32,terminated
476,-29,29,terminated
477,-31,31,terminated
478,-134,34,terminated
479,67,33,terminated
480,-139,39,terminated
481,64,36,terminated
482,-136,36,terminated
483,65,35,terminated
484,68,32,terminated
485,-141,41,terminated
486,-236,36,terminated
487,-338,38,terminated
488,-33,33,terminated
489,-136,36,terminated
490,-28,28,terminated
491,70,30,terminated
492,-30,30,terminated
493,68,32,terminated
494,-133,33,terminated
495,71,29,terminated
496,69,31,terminated
497,-234,34,terminated
498,-32,32,terminated
499,69,31,terminated
500,70,30,terminated
501,65,35,terminated
502,-130,30,terminated
503,-30,30,terminated
504,-236,36,terminated
505,-134,34,terminated
506,-846,46,terminated
507,-31,31,terminated
508,-31,31,terminated
509,-31,31,terminated
510,-29,29,terminated
511,-136,36,terminated
512,-133,33,terminated
513,-34,34,terminated
514,-236,36,terminated
515,-231,31,terminated
516,-34,34,terminated
517,-135,35,terminated
518,-233,33,terminated
519,-136,36,terminated
520,-31,31,terminated
521,-29,29,terminated
522,-33,33,terminated
523,64,36,terminated
524,-137,37,terminated
525,-131,31,terminated
526,-33,33,terminated
527,-134,34,terminated
528,-132,32,terminated
529,-31,31,terminated
530,68,32,terminated
531,-34,34,terminated
532,-34,34,terminated
533,62,38,terminated
534,-34,34,terminated
535,-30,30,terminated
536,-33,33,terminated
537,-34,34,terminated
538,-30,30,terminated
539,66,34,terminated
540,69,31,terminated
541,-29,29,terminated
542,69,31,terminated
543,-131,31,terminated
544,-233,33,terminated
545,-37,37,terminated
546,-237,37,terminated
547,66,34,terminated
548,-33,33,terminated
549,-33,33,terminated
550,66,34,terminated
551,-133,33,terminated
552,-444,44,terminated
553,65,35,terminated
554,-235,35,terminated
555,-340,40,terminated
556,65,35,terminated
557,66,34,terminated
558,-437,37,terminated
559,-138,38,terminated
560,-36,36,terminated
561,68,32,terminated
562,-33,33,terminated
563,-35,35,terminated
564,67,33,terminated
565,65,35,terminated
566,-34,34,terminated
567,-133,33,terminated
568,-235,35,terminated
569,66,34,terminated
570,69,31,terminated
571,72,28,terminated
572,71,29,terminated
573,-131,31,terminated
574,-237,37,terminated
575,-31,31,terminated
576,-32,32,terminated
577,-35,35,terminated
578,-142,42,terminated
579,-240,40,terminated
580,-33,33,terminated
581,-37,37,terminated
582,-240,40,terminated
583,-135,35,terminated
584,-33,33,terminated
585,-243,43,terminated
586,-34,34,terminated
587,-34,34,terminated
588,66,34,terminated
589,-36,36,terminated
590,-238,38,terminated
591,68,32,terminated
592,-34,34,terminated
593,69,31,terminated
594,-132,32,terminated
595,68,32,terminated
596,-135,35,terminated
597,-133,33,terminated
598,-32,32,terminated
599,-32,32,terminated
600,-32,32,terminated
601,69,31,terminated
602,-32,32,terminated
603,71,29,terminated
604,-133,33,terminated
605,-237,37,terminated
606,-139,39,terminated
607,-132,32,terminated
608,-30,30,terminated
609,72,28,terminated
610,-133,33,terminated
611,-34,34,terminated
612,-33,33,terminated
613,-36,36,terminated
614,-34,34,terminated
615,-31,31,terminated
616,-31,31,terminated
617,-32,32,terminated
618,-135,35,terminated
619,72,28,terminated
620,-28,28,terminated
621,-31,31,terminated
622,70,30,terminated
623,-31,31,terminated
624,71,29,terminated
625,-30,30,terminated
626,71,29,terminated
627,-29,29,terminated
628,-31,31,terminated
629,-30,30,terminated
630,73,27,terminated
631,-131,31,terminated
632,-29,29,terminated
633,-35,35,terminated
634,68,32,terminated
635,-34,34,terminated
636,-32,32,terminated
637,72,28,terminated
638,-235,35,terminated
639,-234,34,terminated
640,-130,30,terminated
641,-35,35,terminated
642,-34,34,terminated
643,-39,39,terminated
644,68,32,terminated
645,-238,38,terminated
646,-235,35,terminated
647,-136,36,terminated
648,-442,42,terminated
649,-33,33,terminated
650,70,30,terminated
651,64,36,terminated
652,72,28,terminated
653,-134,34,terminated
654,-32,32,terminated
655,-134,34,terminated
656,-235,35,terminated
657,72,28,terminated
658,-133,33,terminated
659,-133,33,terminated
660,-130,30,terminated
661,-29,29,terminated
662,-132,32,terminated
663,-33,33,terminated
664,-335,35,terminated
665,-135,35,terminated
666,-139,39,terminated
667,-134,34,terminated
668,-29,29,terminated
669,-32,32,terminated
670,-31,31,terminated
671,-130,30,terminated
672,72,28,terminated
673,71,29,terminated
674,-131,31,terminated
675,71,29,terminated
676,-30,30,terminated
677,-132,32,terminated
678,-130,30,terminated
679,72,28,terminated
680,-132,32,terminated
681,-32,32,terminated
682,71,29,terminated
683,-133,33,terminated
684,-32,32,terminated
685,-137,37,terminated
686,-134,34,terminated
687,-36,36,terminated
688,-645,45,terminated
689,-34,34,terminated
690,-34,34,terminated
691,-136,36,terminated
692,-337,37,terminated
693,-136,36,terminated
694,69,31,terminated
695,-33,33,terminated
696,-35,35,terminated
697,-137,37,terminated
698,69,31,terminated
699,-232,32,terminated
700,-31,31,terminated
701,-30,30,terminated
702,68,32,terminated
703,-131,31,terminated
704,-440,40,terminated
705,-32,32,terminated
706,-29,29,terminated
707,-30,30,terminated
708,-136,36,terminated
709,-234,34,terminated
710,-133,33,terminated
711,-237,37,terminated
712,70,30,terminated
713,-134,34,terminated
714,-30,30,terminated
715,-28,28,terminated
716,-29,29,terminated
717,73,27,terminated
718,73,27,terminated
719,-28,28,terminated
720,-28,28,terminated
721,72,28,terminated
722,72,28,terminated
723,-128,28,terminated
724,72,28,terminated
725,-132,32,terminated
726,-130,30,terminated
727,-132,32,terminated
728,68,32,terminated
729,-34,34,terminated
730,-131,31,terminated
731,-31,31,terminated
732,-134,34,terminated
733,-31,31,terminated
734,68,32,terminated
735,-30,30,terminated
736,-29,29,terminated
737,70,30,terminated
738,-29,29,terminated
739,71,29,terminated
740,70,30,terminated
741,-135,35,terminated
742,-140,40,terminated
743,-131,31,terminated
744,72,28,terminated
745,-131,31,terminated
746,-32,32,terminated
747,-29,29,terminated
748,71,29,terminated
749,67,33,terminated
750,-36,36,terminated
751,72,28,terminated
752,-31,31,terminated
753,-33,33,terminated
754,74,26,terminated
755,71,29,terminated
756,72,28,terminated
757,-29,29,terminated
758,-333,33,terminated
759,-33,33,terminated
760,69,31,terminated
761,-34,34,terminated
762,-32,32,terminated
763,-134,34,terminated
764,68,32,terminated
765,-338,38,terminated
766,-34,34,terminated
767,-946,46,terminated
768,-33,33,terminated
769,-138,38,terminated
770,-337,37,terminated
771,-442,42,terminated
772,67,33,terminated
773,65,35,terminated
774,-32,32,terminated
775,-239,39,terminated
776,-234,34,terminated
777,-33,33,terminated
778,-35,35,terminated
779,-132,32,terminated
780,-31,31,terminated
781,70,30,terminated
782,71,29,terminated
783,69,31,terminated
784,-131,31,terminated
785,74,26,terminated
786,-30,30,terminated
787,72,28,terminated
788,71,29,terminated
789,72,28,terminated
790,71,29,terminated
791,69,31,terminated
792,70,30,terminated
793,-35,35,terminated
794,69,31,terminated
795,71,29,terminated
796,73,27,terminated
797,74,26,terminated
798,-30,30,terminated
799,-31,31,terminated
800,-32,32,terminated
801,72,28,terminated
802,-29,29,terminated
803,73,27,terminated
804,-27,27,terminated
805,-31,31,terminated
806,-135,35,terminated
807,-130,30,terminated
808,-29,29,terminated
809,-130,30,terminated
810,-30,30,terminated
811,70,30,terminated
812,-30,30,terminated
813,-28,28,terminated
814,-135,35,terminated
815,-342,42,terminated
816,66,34,terminated
817,-236,36,terminated
818,-32,32,terminated
819,-134,34,terminated
820,-33,33,terminated
821,62,38,terminated
822,-37,37,terminated
823,-338,38,terminated
824,-338,38,terminated
825,71,29,terminated
826,-133,33,terminated
827,-30,30,terminated
828,-31,31,terminated
829,71,29,terminated
830,-29,29,terminated
831,-30,30,terminated
832,-31,31,terminated
833,-30,30,terminated
834,71,29,terminated
835,73,27,terminated
836,-32,32,terminated
837,72,28,terminated
838,72,28,terminated
839,-31,31,terminated
840,71,29,terminated
841,72,28,terminated
842,69,31,terminated
843,-129,29,terminated
844,73,27,terminated
845,72,28,terminated
846,-28,28,terminated
847,-30,30,terminated
848,-128,28,terminated
849,-238,38,terminated
850,68,32,terminated
851,-134,34,terminated
852,-135,35,terminated
853,-141,41,terminated
854,-31,31,terminated
855,-32,32,terminated
856,-646,46,terminated
857,71,29,terminated
858,72,28,terminated
859,-135,35,terminated
860,-338,38,terminated
861,-239,39,terminated
862,71,29,terminated
863,67,33,terminated
864,-30,30,terminated
865,70,30,terminated
866,-130,30,terminated
867,-36,36,terminated
868,72,28,terminated
869,73,27,terminated
870,-30,30,terminated
871,-133,33,terminated
872,-27,27,terminated
873,70,30,terminated
874,-132,32,terminated
875,-30,30,terminated
876,-28,28,terminated
877,73,27,terminated
878,-30,30,terminated
879,74,26,terminated
880,72,28,terminated
881,-28,28,terminated
882,73,27,terminated
883,70,30,terminated
884,74,26,terminated
885,73,27,terminated
886,-32,32,terminated
887,-29,29,terminated
888,-31,31,terminated
889,-130,30,terminated
890,70,30,terminated
891,-33,33,terminated
892,71,29,terminated
893,-645,45,terminated
894,-28,28,terminated
895,70,30,terminated
896,-31,31,terminated
897,-131,31,terminated
898,71,29,terminated
899,-30,30,terminated
900,-29,29,terminated
901,71,29,terminated
902,-36,36,terminated
903,-34,34,terminated
904,-32,32,terminated
905,-132,32,terminated
906,-30,30,terminated
907,-32,32,terminated
908,-231,31,terminated
909,-30,30,terminated
910,-134,34,terminated
911,-29,29,terminated
912,68,32,terminated
913,-136,36,terminated
914,-138,38,terminated
915,-25,25,terminated
916,72,28,terminated
917,75,25,terminated
918,75,25,terminated
919,-28,28,terminated
920,75,25,terminated
921,74,26,terminated
922,75,25,terminated
923,-129,29,terminated
924,-29,29,terminated
925,71,29,terminated
926,72,28,terminated
927,73,27,terminated
928,-30,30,terminated
929,73,27,terminated
930,-131,31,terminated
931,-27,27,terminated
932,-31,31,terminated
933,-31,31,terminated
934,66,34,terminated
935,-33,33,terminated
936,71,29,terminated
937,71,29,terminated
938,-31,31,terminated
939,-142,42,terminated
940,-32,32,terminated
941,74,26,terminated
942,-30,30,terminated
943,72,28,terminated
944,71,29,terminated
945,-30,30,terminated
946,-28,28,terminated
947,72,28,terminated
948,-130,30,terminated
949,-30,30,terminated
950,70,30,terminated
951,72,28,terminated
952,70,30,terminated
953,-27,27,terminated
954,75,25,terminated
955,-26,26,terminated
956,74,26,terminated
957,73,27,terminated
958,-131,31,terminated
959,72,28,terminated
960,-28,28,terminated
961,-30,30,terminated
962,73,27,terminated
963,-30,30,terminated
964,-130,30,terminated
965,-132,32,terminated
966,-36,36,terminated
967,-38,38,terminated
968,-647,47,terminated
969,75,25,terminated
970,-138,38,terminated
971,-31,31,terminated
972,74,26,terminated
973,-130,30,terminated
974,67,33,terminated
975,-38,38,terminated
976,-33,33,terminated
977,-137,37,terminated
978,-137,37,terminated
979,71,29,terminated
980,71,29,terminated
981,72,28,terminated
982,72,28,terminated
983,72,28,terminated
984,71,29,terminated
985,70,30,terminated
986,70,30,terminated
987,71,29,terminated
988,72,28,terminated
989,-33,33,terminated
990,69,31,terminated
991,-28,28,terminated
992,-132,32,terminated
993,-28,28,terminated
994,61,39,terminated
995,-243,43,terminated
996,-28,28,terminated
997,-133,33,terminated
998,-543,43,terminated
999,-31,31,terminated
