episode,action,ghost_action,step,total_reward
14,10,10,39,-39.0
14,10,10,40,-40.0
14,10,10,41,-41.0
14,10,10,42,-42.0
14,10,10,43,-43.0
14,10,10,44,-44.0
14,10,10,45,-45.0
14,10,10,46,-46.0
14,10,10,47,-47.0
14,10,10,48,-48.0
14,10,10,49,-49.0
14,10,10,50,-50.0
14,10,10,51,-51.0
14,10,10,52,-52.0
14,10,10,53,-53.0
14,10,10,54,-54.0
14,10,10,55,-55.0
14,10,10,56,-56.0
14,10,10,57,-57.0
14,10,10,58,-58.0
14,10,10,59,-59.0
14,10,10,60,-60.0
14,10,10,61,-61.0
15,10,10,0,0
15,10,10,1,-1.0
15,10,10,2,-2.0
15,10,10,3,-3.0
15,10,10,4,-4.0
15,10,10,5,-5.0
15,10,10,6,-6.0
15,10,10,7,-7.0
15,10,10,8,-8.0
15,10,10,9,-9.0
15,10,10,10,-10.0
15,10,10,11,-11.0
15,10,10,12,-12.0
15,10,10,13,-13.0
15,10,10,14,-14.0
15,10,10,15,-15.0
15,10,10,16,-16.0
15,10,10,17,-17.0
15,10,10,18,-18.0
15,10,10,19,-19.0
15,10,10,20,-20.0
15,10,10,21,-21.0
15,8,8,22,-22.0
15,8,8,23,-23.0
15,8,8,24,-24.0
15,8,8,25,-25.0
15,8,8,26,-26.0
15,8,8,27,-27.0
15,8,8,28,-28.0
15,8,8,29,-29.0
15,8,8,30,-30.0
15,10,10,31,-31.0
15,10,10,32,-32.0
15,10,10,33,-33.0
15,10,10,34,-34.0
15,10,10,35,-35.0
15,10,10,36,-36.0
15,10,10,37,-37.0
15,10,10,38,-38.0
15,10,10,39,-39.0
15,10,10,40,-40.0
15,10,10,41,-41.0
15,10,10,42,-42.0
15,10,10,43,-43.0
15,10,10,44,-44.0
15,10,10,45,-45.0
15,10,10,46,-46.0
15,10,10,47,-47.0
15,10,10,48,-48.0
15,10,10,49,-49.0
15,10,10,50,-50.0
15,10,10,51,-51.0
15,10,10,52,-52.0
15,10,10,53,-53.0
15,10,10,54,-54.0
15,10,10,55,-55.0
15,10,10,56,-56.0
15,10,10,57,-57.0
15,10,10,58,-58.0
15,10,10,59,-59.0
15,10,10,60,-60.0
15,10,10,61,-61.0
16,10,10,0,0
16,10,10,1,-1.0
16,10,10,2,-2.0
16,10,10,3,-3.0
16,10,10,4,-4.0
16,10,10,5,-5.0
16,10,10,6,-6.0
16,10,10,7,-7.0
16,10,10,8,-8.0
16,10,10,9,-9.0
16,10,10,10,-10.0
16,10,10,11,-11.0
16,10,10,12,-12.0
16,10,10,13,-13.0
16,10,10,14,-14.0
16,10,10,15,-15.0
16,10,10,16,-16.0
16,10,10,17,-17.0
16,10,10,18,-18.0
16,10,10,19,-19.0
16,10,10,20,-20.0
16,10,10,21,-21.0
16,8,8,22,-22.0
16,8,8,23,-23.0
16,8,8,24,-24.0
16,8,8,25,-25.0
16,8,8,26,-26.0
16,8,8,27,-27.0
16,8,8,28,-28.0
16,8,8,29,-29.0
16,8,8,30,-30.0
16,10,10,31,-31.0
16,10,10,32,-32.0
16,10,10,33,-33.0
16,10,10,34,-34.0
16,10,10,35,-35.0
16,10,10,36,-36.0
16,10,10,37,-37.0
16,10,10,38,-38.0
16,10,10,39,-39.0
16,10,10,40,-40.0
16,10,10,41,-41.0
16,10,10,42,-42.0
16,10,10,43,-43.0
16,10,10,44,-44.0
16,10,10,45,-45.0
16,10,10,46,-46.0
16,10,10,47,-47.0
16,10,10,48,-48.0
16,10,10,49,-49.0
16,10,10,50,-50.0
16,10,10,51,-51.0
16,10,10,52,-52.0
16,10,10,53,-53.0
16,10,10,54,-54.0
16,10,10,55,-55.0
16,10,10,56,-56.0
16,10,10,57,-57.0
16,10,10,58,-58.0
16,10,10,59,-59.0
16,10,10,60,-60.0
16,10,10,61,-61.0
17,10,10,0,0
17,10,10,1,-1.0
17,10,10,2,-2.0
17,10,10,3,-3.0
17,10,10,4,-4.0
17,10,10,5,-5.0
17,10,10,6,-6.0
17,10,10,7,-7.0
17,10,10,8,-8.0
17,10,10,9,-9.0
17,10,10,10,-10.0
17,10,10,11,-11.0
17,10,10,12,-12.0
17,10,10,13,-13.0
17,10,10,14,-14.0
17,10,10,15,-15.0
17,10,10,16,-16.0
17,10,10,17,-17.0
17,10,10,18,-18.0
17,10,10,19,-19.0
17,10,10,20,-20.0
17,10,10,21,-21.0
